criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No,Attack
gini,23,1,6,0.9998924361474234,0.00021512770515323963,0.462,35,SCHD
entropy,32,27,4,1.0,0.0,0.864,36,SCHD
gini,31,24,7,1.0,0.0,0.681,37,SCHD
entropy,30,19,2,1.0,0.0,0.708,38,SCHD
entropy,15,2,4,1.0,0.0,0.517,39,SCHD
entropy,28,27,5,1.0,0.0,0.824,40,SCHD
entropy,18,3,3,1.0,0.0,0.383,41,SCHD
entropy,9,25,5,1.0,0.0,0.835,42,SCHD
entropy,6,26,3,1.0,0.0,0.738,43,SCHD
gini,26,20,8,1.0,0.0,0.722,44,SCHD
entropy,8,15,7,1.0,0.0,0.716,45,SCHD
gini,15,26,3,1.0,0.0,0.794,46,SCHD
gini,3,9,3,0.9999463228023224,0.00016103159303307855,0.512,47,SCHD
gini,9,9,2,1.0,0.0,0.492,48,SCHD
gini,5,12,2,1.0,0.0,0.559,49,SCHD
entropy,8,18,9,1.0,0.0,0.607,0,MHDis
gini,8,16,3,0.9995166239751413,0.0011066362119703955,0.443,1,MHDis
entropy,18,18,9,1.0,0.0,0.622,2,MHDis
gini,32,15,2,1.0,0.0,0.514,3,MHDis
gini,15,1,5,0.999634505148251,0.0005583026080855424,0.387,4,MHDis
gini,27,7,6,0.9997563367655007,0.00048732646899871666,0.467,5,MHDis
gini,31,4,2,1.0,0.0,0.459,6,MHDis
entropy,24,10,8,0.9998787350293881,0.0003637949118358685,0.495,7,MHDis
entropy,17,15,2,1.0,0.0,0.539,8,MHDis
entropy,17,7,7,0.9997557660501892,0.0007327018494323045,0.517,9,MHDis
gini,31,15,7,0.999757470058776,0.0004850598824478247,0.477,10,MHDis
entropy,21,17,9,1.0,0.0,0.668,11,MHDis
entropy,20,7,5,0.9997557660501892,0.0007327018494323045,0.401,12,MHDis
gini,23,4,4,0.9998787350293881,0.0003637949118358685,0.308,13,MHDis
entropy,9,14,7,1.0,0.0,0.57,14,MHDis
entropy,20,5,9,0.9992695769431397,0.0018232580260074004,0.41,15,MHDis
gini,27,6,2,1.0,0.0,0.337,16,MHDis
gini,15,11,3,0.9998781683827502,0.0003654948517490375,0.501,17,MHDis
entropy,30,18,4,1.0,0.0,0.622,18,MHDis
entropy,14,13,6,1.0,0.0,0.522,19,MHDis
entropy,13,8,3,1.0,0.0,0.43,20,MHDis
entropy,14,11,4,1.0,0.0,0.451,21,MHDis
gini,20,2,3,0.9997563367655005,0.0004873264689987167,0.347,22,MHDis
gini,22,17,6,0.999757470058776,0.0004850598824478247,0.484,23,MHDis
gini,19,5,9,0.9987901407357409,0.0015259445356298452,0.399,24,MHDis
gini,31,6,7,1.0,0.0,0.445,25,MHDis
entropy,7,14,5,0.9992746566504467,0.0012319314000826514,0.528,26,MHDis
gini,10,17,2,1.0,0.0,0.528,27,MHDis
gini,26,9,6,1.0,0.0,0.413,28,MHDis
entropy,12,14,8,1.0,0.0,0.64,29,MHDis
entropy,20,3,2,1.0,0.0,0.381,30,MHDis
entropy,9,11,7,0.9998781683827502,0.00036549485174903746,0.488,31,MHDis
gini,22,16,2,1.0,0.0,0.534,32,MHDis
gini,10,5,3,0.9998787350293881,0.00036379491183586855,0.424,33,MHDis
entropy,17,11,7,0.9998781683827502,0.00036549485174903746,0.532,34,MHDis
gini,25,13,6,0.9998787350293881,0.00036379491183586855,0.477,35,MHDis
gini,30,9,2,1.0,0.0,0.382,36,MHDis
entropy,26,6,4,1.0,0.0,0.414,37,MHDis
gini,25,3,2,1.0,0.0,0.334,38,MHDis
gini,30,18,7,1.0,0.0,0.508,39,MHDis
entropy,27,15,7,1.0,0.0,0.629,40,MHDis
entropy,26,2,6,0.9997563367655007,0.00048732646899871666,0.376,41,MHDis
gini,26,9,4,1.0,0.0,0.438,42,MHDis
entropy,16,8,4,0.9998787350293881,0.0003637949118358685,0.509,43,MHDis
gini,23,12,4,1.0,0.0,0.478,44,MHDis
entropy,12,5,3,0.9998781683827502,0.0003654948517490375,0.416,45,MHDis
entropy,15,8,8,0.9998781683827502,0.00036549485174903746,0.542,46,MHDis
gini,16,16,5,1.0,0.0,0.486,47,MHDis
entropy,28,4,8,0.9993885549448047,0.0012534261550072624,0.383,48,MHDis
entropy,8,13,6,0.9998781683827502,0.0003654948517490375,0.563,49,MHDis
