criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No,Attack
gini,17,11,7,1.0,0.0,1.39,22,HTTP
gini,19,4,9,0.9997722717639155,0.00035785868009957314,1.082,23,HTTP
entropy,25,10,4,1.0,0.0,1.953,24,HTTP
entropy,7,14,5,1.0,0.0,2.31,25,HTTP
entropy,9,8,4,1.0,0.0,1.321,26,HTTP
gini,32,5,7,0.9998699085287741,0.00021570297219729813,0.99,27,HTTP
gini,5,11,4,1.0,0.0,1.38,28,HTTP
entropy,10,10,9,1.0,0.0,1.333,29,HTTP
entropy,20,14,2,1.0,0.0,1.888,30,HTTP
gini,16,14,7,1.0,0.0,1.909,31,HTTP
entropy,28,6,7,1.0,0.0,1.166,32,HTTP
gini,22,9,9,1.0,0.0,1.281,33,HTTP
gini,19,10,5,1.0,0.0,1.461,34,HTTP
entropy,8,14,7,1.0,0.0,1.899,35,HTTP
gini,21,5,3,1.0,0.0,1.276,36,HTTP
gini,10,14,9,1.0,0.0,1.577,37,HTTP
entropy,26,4,5,0.9999675062990259,9.748110292266965e-05,0.841,38,HTTP
gini,12,13,8,1.0,0.0,1.256,39,HTTP
entropy,11,12,8,1.0,0.0,1.325,40,HTTP
gini,31,10,4,1.0,0.0,1.096,41,HTTP
gini,9,7,6,0.9999350514223868,0.00019484573283949926,1.052,42,HTTP
gini,30,5,2,1.0,0.0,1.027,43,HTTP
gini,31,7,6,0.999967467401808,9.759779457614305e-05,1.202,44,HTTP
entropy,12,2,5,0.9998049988483789,0.0002599692248812714,0.884,45,HTTP
gini,22,11,8,1.0,0.0,1.413,46,HTTP
entropy,17,10,9,1.0,0.0,1.192,47,HTTP
gini,20,5,5,0.9998699085044496,0.00015932892759711937,0.93,48,HTTP
gini,19,5,5,0.9999349737008337,0.00013005262741680085,1.01,49,HTTP
entropy,13,1,4,0.9999808051102631,5.7584669210486433e-05,0.466,0,ACK
gini,20,1,8,0.9999808051102631,5.7584669210486433e-05,0.49,1,ACK
gini,7,2,3,1.0,0.0,0.537,2,ACK
entropy,28,5,7,1.0,0.0,0.969,3,ACK
gini,26,2,9,0.9999231950844854,0.0001536098310292111,0.551,4,ACK
entropy,9,5,7,1.0,0.0,0.72,5,ACK
gini,9,3,3,1.0,0.0,0.503,6,ACK
gini,19,4,3,1.0,0.0,0.615,7,ACK
entropy,11,1,6,0.9999615975422426,0.00011520737327190833,0.602,8,ACK
entropy,13,5,9,1.0,0.0,0.896,9,ACK
gini,23,5,3,1.0,0.0,0.767,10,ACK
gini,11,2,7,1.0,0.0,0.462,11,ACK
gini,11,3,2,1.0,0.0,0.555,12,ACK
gini,25,5,2,1.0,0.0,0.69,13,ACK
gini,23,3,7,0.9999615975422426,0.00011520737327190833,0.432,14,ACK
entropy,26,2,3,1.0,0.0,0.596,15,ACK
entropy,10,2,5,1.0,0.0,0.616,16,ACK
gini,17,5,6,1.0,0.0,0.751,17,ACK
entropy,14,2,5,1.0,0.0,0.573,18,ACK
entropy,25,3,7,1.0,0.0,0.659,19,ACK
entropy,10,1,8,0.9999232964015732,0.0001534071968531947,0.649,20,ACK
entropy,9,2,7,1.0,0.0,0.6,21,ACK
entropy,22,3,8,0.9999615975422426,0.00011520737327190833,0.724,22,ACK
entropy,13,2,9,0.9999615975422426,0.00011520737327190833,0.729,23,ACK
entropy,4,1,3,0.9978303860029019,0.005523892699783754,0.544,24,ACK
entropy,6,2,3,0.9999615975422426,0.00011520737327190833,0.531,25,ACK
entropy,4,3,4,1.0,0.0,0.617,26,ACK
entropy,15,1,8,1.0,0.0,0.503,27,ACK
entropy,6,3,2,1.0,0.0,0.69,28,ACK
entropy,7,3,2,1.0,0.0,0.686,29,ACK
gini,22,3,9,0.9999615975422426,0.00011520737327190833,0.647,30,ACK
gini,16,1,3,1.0,0.0,0.479,31,ACK
gini,23,3,6,0.9999808177748942,5.7546675317055045e-05,0.631,32,ACK
entropy,17,3,4,1.0,0.0,0.676,33,ACK
gini,26,4,6,1.0,0.0,0.609,34,ACK
gini,32,2,4,1.0,0.0,0.631,35,ACK
gini,19,3,6,1.0,0.0,0.601,36,ACK
gini,20,5,6,1.0,0.0,0.688,37,ACK
entropy,22,4,7,1.0,0.0,0.796,38,ACK
gini,7,5,7,1.0,0.0,0.665,39,ACK
entropy,18,4,7,1.0,0.0,0.682,40,ACK
entropy,24,4,2,1.0,0.0,0.828,41,ACK
gini,27,5,3,1.0,0.0,0.693,42,ACK
gini,29,4,5,1.0,0.0,0.608,43,ACK
gini,22,2,5,0.9999808177748942,5.7546675317055045e-05,0.573,44,ACK
gini,20,4,2,1.0,0.0,0.718,45,ACK
gini,25,5,4,1.0,0.0,0.651,46,ACK
entropy,16,3,8,1.0,0.0,0.655,47,ACK
