C,penalty,Solver,F1,Std,Time,No,Attack
0.6023251404634298,l1,liblinear,0.9996475514615838,1.1102230246251565e-16,2.433,0,SYN
73.47941601938174,l2,lbfgs,0.9980369126413366,0.0,5.87,1,SYN
0.0020111182716057515,l1,liblinear,0.9952807531878317,0.0009556928077313161,1.886,2,SYN
0.33189067137271744,l1,liblinear,0.9996475526441382,2.365108553448181e-09,3.349,3,SYN
0.042146958896494884,l1,liblinear,0.9985099725866322,0.0003595363163763131,3.074,4,SYN
0.08465025876075838,l1,liblinear,0.9995367967777986,2.0136796376536722e-05,2.579,5,SYN
0.5919825612184556,l2,lbfgs,0.997735010702867,1.1102230246251565e-16,5.46,6,SYN
0.6592143421830532,l2,lbfgs,0.9981375531513074,1.1102230246251565e-16,5.62,7,SYN
7.805500283468847,l2,lbfgs,0.997684696562019,0.0,4.512,8,SYN
0.06698163498073559,l1,liblinear,0.9995166592223613,2.466150802367722e-05,2.903,9,SYN
79.16886033422226,l2,lbfgs,1.0,0.0,3.725,0,HTTP
17.147054117262307,l1,liblinear,0.9980420265356159,0.0002929057131251633,68.11,1,HTTP
0.5176924818661742,none,lbfgs,1.0,0.0,4.366,2,HTTP
0.10234726455480962,none,lbfgs,1.0,0.0,4.951,3,HTTP
4.492750284722879,l2,lbfgs,1.0,0.0,4.443,4,HTTP
3.553020788776683,none,lbfgs,1.0,0.0,3.802,5,HTTP
0.038221507743931855,none,lbfgs,1.0,0.0,4.99,6,HTTP
0.0026415054053703195,l2,liblinear,0.9582332562997955,0.0,1.735,7,HTTP
3.9770372634644704,l2,lbfgs,1.0,0.0,3.928,8,HTTP
0.0007391995819988961,l2,lbfgs,0.9977172520195022,0.0,3.78,9,HTTP
12.818410088311749,l1,liblinear,0.999615975422427,0.0,134.999,0,ACK
66.18911801145539,l1,liblinear,0.999615975422427,0.0,169.886,1,ACK
17.260128069576844,none,lbfgs,0.9839316225518706,0.0,69.665,2,ACK
1.4153318572304263,l2,liblinear,0.9816026505340123,0.0,50.628,3,ACK
0.22893364851125533,none,lbfgs,0.9839316225518706,0.0,26.523,4,ACK
0.4694972385866071,l1,liblinear,0.999615975422427,0.0,80.027,5,ACK
0.32562689213101664,l1,liblinear,0.999615975422427,0.0,57.077,6,ACK
0.05510519045779169,none,lbfgs,0.9839316225518706,0.0,82.825,7,ACK
0.003947669193718041,l1,liblinear,0.9902236004843633,0.00043105620030647326,87.961,8,ACK
0.0023286472642184445,l1,liblinear,0.9899266671394656,0.00032603755588484184,37.688,9,ACK
0.2750892561494645,none,lbfgs,1.0,0.0,36.152,0,UDP
52.38771500471034,l1,liblinear,0.998406710781141,0.00010784910788108605,1.561,1,UDP
2.5564180490818463e-05,none,lbfgs,1.0,0.0,3.945,2,UDP
5.19363125024981,l2,lbfgs,0.9994756490088849,0.0,2.739,3,UDP
0.00011767379844874841,none,lbfgs,1.0,0.0,3.027,4,UDP
0.015161261532750095,l2,lbfgs,0.9948192379664746,0.0,68.202,5,UDP
4.020515823251015,l1,liblinear,0.9984276762464933,0.00021721783493677135,1.081,6,UDP
42.939924788561235,none,lbfgs,1.0,0.0,68.499,7,UDP
50.45878026061388,l2,lbfgs,1.0,0.0,36.259,8,UDP
0.010447206676199113,none,lbfgs,1.0,0.0,101.932,9,UDP
5.152507244211878,l1,liblinear,0.8257004919229747,0.0018428600133217458,369.056,0,ARP
2.9234586625178587e-05,none,newton-cg,0.8045167600803751,0.0,59.038,1,ARP
0.057106143613925985,l1,liblinear,0.826793350959897,0.0012453110111489956,328.651,2,ARP
13.49813956658319,l1,liblinear,0.828585422948494,0.002247214842269818,476.507,3,ARP
0.18846886100627888,l1,liblinear,0.8259169420405688,0.001432987077965344,436.125,4,ARP
0.10478934449006115,l1,liblinear,0.826848707177281,0.0017652170149707461,259.579,5,ARP
0.09623017431209886,l1,liblinear,0.8280469957624522,0.0024925265892539756,356.587,6,ARP
0.32626347647506676,l1,liblinear,0.8263530329319236,0.0013972790375296395,393.99,7,ARP
0.05244971713489229,l2,newton-cg,0.8084066512001644,0.0,102.161,8,ARP
0.3165019666498239,l2,newton-cg,0.8057884150580754,0.0,91.134,9,ARP
1.945841984361431,none,lbfgs,0.9990954847697161,1.1102230246251565e-16,2.725,0,SP
7.370029143096881,l2,lbfgs,0.9988689575323837,0.0,1.897,1,SP
0.00015592103361837864,none,lbfgs,0.9990954847697161,1.1102230246251565e-16,2.363,2,SP
30.924664105353386,l2,lbfgs,0.9990954847697161,1.1102230246251565e-16,1.896,3,SP
32.523729112844315,l2,lbfgs,0.9990954847697161,1.1102230246251565e-16,1.879,4,SP
