var_smoothing,F1,Std,Time,No,Attack
2.310129700083158e-09,0.9901313580689299,0.0,0.961,0,SYN
1.519911082952933e-09,0.9901809641014763,1.1102230246251565e-16,0.935,1,SYN
6.579332246575682e-09,0.9888252269113181,1.1102230246251565e-16,0.715,2,SYN
2.848035868435805e-09,0.9898802006828704,0.0,0.616,3,SYN
1.2328467394420635e-09,0.9903316173666268,0.0,0.596,4,SYN
1e-08,0.9881724955162999,0.0,0.587,5,SYN
2.848035868435805e-09,0.9898802006828704,0.0,0.604,6,SYN
2.310129700083158e-07,0.9755857765909273,0.0,0.58,7,SYN
1.519911082952933e-08,0.9875203296597512,0.0,0.561,8,SYN
4.328761281083061e-09,0.9893275365344604,1.1102230246251565e-16,0.59,9,SYN
1.2328467394420635e-09,0.6324250267692075,0.0,0.446,0,HTTP
5.336699231206313e-06,0.5688235294117647,0.0,0.437,1,HTTP
5.336699231206302e-09,0.6305140701024603,0.0,0.43,2,HTTP
1.519911082952933e-09,0.6319453969675041,0.0,0.4,3,HTTP
1.2328467394420635e-09,0.6324250267692075,0.0,0.424,4,HTTP
1e-09,0.632531783845639,0.0,0.428,5,HTTP
1.873817422860387e-09,0.6318389847246899,0.0,0.448,6,HTTP
3.5111917342151273e-09,0.6309899264720178,0.0,0.399,7,HTTP
2.848035868435799e-08,0.6273730725322062,0.0,0.417,8,HTTP
1e-08,0.6296186133867863,0.0,0.437,9,HTTP
0.1873817422860384,0.8651515558989203,0.0,0.258,0,ACK
0.3511191734215131,0.8956493382972364,0.0,0.25,1,ACK
0.23101297000831597,0.874438956022898,0.0,0.284,2,ACK
0.03511191734215131,0.8299026026250733,0.0,0.254,3,ACK
0.23101297000831597,0.874438956022898,0.0,0.266,4,ACK
0.533669923120631,0.8902710620238707,0.0,0.254,5,ACK
0.0015199110829529332,0.8106968291718886,0.0,0.268,6,ACK
0.43287612810830584,0.8988926533822145,0.0,0.261,7,ACK
2.310129700083158e-05,0.7902924627840765,0.0,0.271,8,ACK
1.0,0.8506519303449803,1.1102230246251565e-16,0.27,9,ACK
2.848035868435799e-08,0.6700070857374227,0.0,0.685,0,UDP
1.2328467394420635e-09,0.6722304348843706,0.0,0.72,1,UDP
1.873817422860383e-08,0.67027848372892,0.0,0.626,2,UDP
1.2328467394420635e-09,0.6722304348843706,0.0,0.643,3,UDP
6.579332246575682e-09,0.671092246986446,0.0,0.65,4,UDP
1.519911082952933e-09,0.6721220901584875,0.0,0.644,5,UDP
2.848035868435799e-08,0.6700070857374227,0.0,0.695,6,UDP
1e-09,0.6722304348843706,0.0,0.645,7,UDP
1.873817422860387e-09,0.6719595517425424,0.0,0.625,8,UDP
3.5111917342151277e-08,0.6698985063934868,0.0,0.674,9,UDP
3.5111917342151277e-08,0.5102594865888213,0.0,1.184,0,ARP
3.5111917342151277e-08,0.5102594865888213,0.0,1.265,1,ARP
5.336699231206302e-09,0.5225122352275428,0.0,1.104,2,ARP
5.336699231206302e-09,0.5225122352275428,0.0,1.113,3,ARP
6.579332246575682e-08,0.5071722989070733,0.0,1.115,4,ARP
4.328761281083061e-09,0.524594453416886,0.0,1.124,5,ARP
8.111308307896873e-08,0.5062271410366639,0.0,1.128,6,ARP
1e-09,0.6103489159543802,0.0,1.2,7,ARP
4.3287612810830526e-07,0.49909541386467404,0.0,1.305,8,ARP
1.2328467394420635e-09,0.5819349279347648,0.0,1.352,9,ARP
1e-09,0.9823433217171802,0.0,0.145,0,SP
1.2328467394420635e-09,0.979777526671209,0.0,0.17,1,SP
1.232846739442066e-07,0.9237978783789302,0.0,0.16,2,SP
1.519911082952933e-09,0.9791393221735867,0.0,0.165,3,SP
3.5111917342151273e-09,0.973244269207427,1.1102230246251565e-16,0.16,4,SP
1.873817422860387e-09,0.9753369927538659,0.0,0.179,5,SP
1.2328467394420635e-09,0.979777526671209,0.0,0.159,6,SP
2.848035868435799e-08,0.9443275219151271,1.1102230246251565e-16,0.16,7,SP
4.328761281083061e-09,0.9726191601934889,1.1102230246251565e-16,0.185,8,SP
1e-09,0.9823433217171802,0.0,0.18,9,SP
1.873817422860383e-08,0.7227853396205122,0.0,0.303,0,BF
1e-07,0.7755455748110236,0.0,0.299,1,BF
1e-06,0.733900727687651,0.0,0.31,2,BF
1.232846739442066e-07,0.769586408573695,0.0,0.32,3,BF
1.232846739442066e-07,0.769586408573695,0.0,0.37,4,BF
8.111308307896873e-08,0.770908554406946,0.0,0.355,5,BF
1e-07,0.7755455748110236,0.0,0.38,6,BF
1e-07,0.7755455748110236,0.0,0.366,7,BF
8.111308307896873e-08,0.770908554406946,0.0,0.345,8,BF
1.519911082952933e-07,0.7578451775199737,0.0,0.418,9,BF
3.5111917342151273e-09,0.9991249124912491,0.0,0.694,0,OS
1.232846739442066e-08,0.9978173555734614,1.1102230246251565e-16,0.642,1,OS
2.310129700083158e-09,0.9995621168341653,1.1102230246251565e-16,0.668,2,OS
1.519911082952933e-09,1.0,0.0,0.695,3,OS
1e-07,0.865572315882875,1.1102230246251565e-16,0.678,4,OS
3.5111917342151273e-09,0.9991249124912491,0.0,0.52,5,OS
3.5111917342151277e-08,0.9917946866447453,0.0,0.48,6,OS
1.519911082952933e-09,1.0,0.0,0.518,7,OS
1.2328467394420635e-09,1.0,0.0,0.479,8,OS
5.336699231206302e-09,0.9991249124912491,0.0,0.51,9,OS
1.2328467394420635e-09,0.9271647472191219,0.0,0.327,0,SCHD
1.873817422860387e-09,0.9215425356366813,0.0,0.333,1,SCHD
1e-09,0.9304361169451092,0.0,0.33,2,SCHD
1.2328467394420635e-09,0.9271647472191219,0.0,0.318,3,SCHD
1e-09,0.9304361169451092,0.0,0.339,4,SCHD
2.310129700083158e-09,0.9187792011338507,0.0,0.324,5,SCHD
1.519911082952933e-09,0.9247394227159145,0.0,0.33,6,SCHD
1.873817422860387e-09,0.9215425356366813,0.0,0.36,7,SCHD
