var_smoothing,F1,Std,Time,No,Attack
8.111308307896856e-09,0.8228697531976221,0.0,0.323,8,SCHD
1.519911082952933e-09,0.9247394227159145,0.0,0.349,9,SCHD
1.519911082952933e-08,0.6326074032353954,0.0,0.306,0,MHDis
2.848035868435799e-07,0.5728599377520558,0.0,0.265,1,MHDis
2.310129700083158e-08,0.6241029341446337,0.0,0.29,2,MHDis
1e-09,0.7116504442546024,0.0,0.26,3,MHDis
1.2328467394420635e-09,0.7043677848488209,0.0,0.271,4,MHDis
4.328761281083061e-09,0.662742137177642,0.0,0.267,5,MHDis
2.310129700083158e-09,0.6850470305722448,0.0,0.249,6,MHDis
5.336699231206302e-09,0.6559248831547178,0.0,0.268,7,MHDis
1.873817422860387e-09,0.6915654514922389,0.0,0.307,8,MHDis
1.519911082952933e-07,0.5881328693407188,0.0,0.275,9,MHDis
