Attack,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
UDP,LR,0.2545697364134826,0.6201307981212476,0.5123210050566073,0.6201307981212476,0.2177678689709639,0.0117713646666851,0.6201307981212476,0.1407582283020019,0.07131419181823725
OS,LR,0.37846134634796086,0.6415021754352569,0.5849413164819929,0.6415021754352569,0.369256366582252,0.0929933873944655,0.6415021754352569,0.07757687568664547,0.00431559085845942
ACK,NB,0.6126717803194587,0.7351236377811298,0.7048609143957849,0.7351236377811298,0.6104824997755106,0.3230910160304225,0.7351236377811298,0.0029589891433715295,0.004546093940734809
MHDis,LR,0.999618611746758,0.9998000000000001,0.9959349593495934,0.9998000000000001,0.9978591636694688,0.9957183308348764,0.9998000000000001,0.07190546989440913,0.00037095546722407
ACK,RF,0.9913257909019938,0.9940680982322933,0.9843722093230932,0.9940680982322933,0.9890784024727475,0.978158874091218,0.9940680982322933,2.4283451795578004,0.3369354009628296
SCHD,DT,0.9982761998041136,0.9991200000000001,0.9613904031515993,0.9991200000000001,0.9794654278583529,0.9589323972772739,0.9991200000000001,0.0124189138412475,0.00052413940429684
SYN,RF,0.9999921580159781,0.9999931823914808,0.9999907715449817,0.9999931823914808,0.9999919769024087,0.9999839538048183,0.9999931823914808,0.2611401081085205,1.2228301286697387
SCHD,LR,0.9984329089128303,0.9991999999999999,0.9646017699115041,0.9991999999999999,0.9812510558905843,0.962503213485622,0.9991999999999999,0.055198454856872525,0.0004570245742797401
SCHD,NB,0.9847208619000979,0.9828761904761902,0.7875064927406058,0.9828761904761902,0.8587469811818726,0.7180416787633741,0.9828761904761902,0.00330269336700434,0.0018951892852782902
OS,NB,0.8679355234814823,0.5732112884675313,0.6797007505890649,0.5732112884675313,0.5917510106157116,0.19977855300207273,0.5732112884675313,0.005550193786621039,0.03566999435424801
ACK,LR,0.7971969912886158,0.8613121366710168,0.749493707326825,0.8613121366710168,0.7771365160412074,0.6712637370997825,0.8613121366710168,11.555779767036437,0.00118758678436276
HTTP,LR,0.4502546184440398,0.4999917446794459,0.22512898285680297,0.4999917446794459,0.3104659090326582,-1.4868250309829634e-05,0.4999917446794459,0.12054152488708492,0.005092310905456501
HTTP,NB,0.4745455897111846,0.5219273751376425,0.7153988255143817,0.5219273751376425,0.3591150616282236,0.0396779793770997,0.5219273751376424,0.0047432899475097,0.03409163951873775
OS,KNN,0.8621913275128256,0.49522057001658915,0.4366264291994967,0.49522057001658915,0.4632234424381084,-0.015866563012687695,0.49522057001658915,0.043202424049377394,1.4525389671325684
HTTP,RF,0.99990372820875,0.9999124384702762,0.9998931164685816,0.9999124384702762,0.9999027679159544,0.9998055358337329,0.9999124384702762,1.6701565027236938,0.925611162185669
ARP,LR,0.49527342731425994,0.4563287208562209,0.25995830523310004,0.4563287208562209,0.33122599320924523,-0.09396553966268059,0.4563287208562209,39.41526651382446,0.14598464965820307
BF,NB,0.8045375218150086,0.8180076628352492,0.8358232181761593,0.8180076628352492,0.8033245072080024,0.617453505007153,0.818007662835249,0.00281317234039303,0.00028586387634274004
SYN,KNN,0.42486203009361373,0.4999873106401436,0.21243330565736632,0.4999873106401436,0.298177662903755,-2.1565516810984064e-05,0.4999873106401436,0.00194859504699703,22.778580284118654
BF,RF,0.4591623036649214,0.5033653846153846,0.7285881954303006,0.5033653846153846,0.3204016321417892,0.00613745013884507,0.5033653846153846,1.5799937486648559,0.0185747861862182
UDP,NB,0.9961089161480408,0.8966949652698961,0.9980249470324732,0.8966949652698961,0.9414072992307169,0.8828413093672516,0.8966949652698959,0.00612015724182125,0.5719218969345092
SYN,DT,0.9999921580159781,0.9999931823914808,0.9999907715449817,0.9999931823914808,0.9999919769024087,0.9999839538048183,0.9999931823914808,0.014751696586608829,0.05289328098297116
SYN,LR,0.9996389746605893,0.9996861343477935,0.9995754982637287,0.9996861343477935,0.999630676743277,0.9992613535853639,0.9996861343477935,0.04168374538421627,0.0287932395935058
UDP,DT,0.40196563431677745,0.6735729570895292,0.5868095026521125,0.6735729570895292,0.35142390333052004,0.16383631821800848,0.6735729570895292,0.029291200637817323,0.11238918304443354
SP,NB,0.8588991653507783,0.8489140586929448,0.8782101420338257,0.8489140586929448,0.8536894739322779,0.7104929945062043,0.8489140586929448,0.00219876766204828,0.0007429122924804299
HTTP,DT,0.955016169200461,0.959086114566993,0.9749106659480968,0.959086114566993,0.9487868577043199,0.9166268327271151,0.959086114566993,0.030248785018920844,0.00954554080963129
ARP,RF,0.5278111319599705,0.4863080476930689,0.2679168021180268,0.4863080476930689,0.3454696195233758,-0.02963754754707119,0.4863080476930689,2.8809496641159056,13.46912477016449
BF,LR,0.474869109947644,0.5177884615384616,0.7322477972101166,0.5177884615384616,0.3515248813758766,0.03251342091828024,0.5177884615384616,0.0396748781204223,0.004396653175353959
SP,RF,0.8648770584254455,0.8522013802407639,0.9143337559224056,0.8522013802407639,0.8458472979772278,0.7147563969271766,0.8522013802407639,0.27294468879699707,0.02385425567626947
SYN,NB,0.9979699063863159,0.9982055566383929,0.997650010240298,0.9982055566383929,0.9979241814370553,0.9958483772146568,0.9982055566383929,0.005982232093810999,0.24886162281036378
SP,LR,0.5304534175501916,0.4880853276661794,0.2729899290077596,0.4880853276661794,0.3468163472361746,-0.025834042113463,0.4880853276661794,0.06284801959991451,0.00026268959045407
OS,DT,0.5984130618021375,0.757740847365086,0.6164267552819692,0.757740847365086,0.5434667832441684,0.2243445988068545,0.757740847365086,0.02780251502990717,0.00665545463562007
ARP,NB,0.537710236168907,0.49544014180930046,0.27678098239876564,0.49544014180930046,0.3498143763598326,-0.0098886218744465,0.49544014180930035,0.012959957122802688,1.3007408142089845
HTTP,KNN,0.47436345388990075,0.5219208092172878,0.7306910027195235,0.5219208092172878,0.3577164809524628,0.0396533698589076,0.5219208092172878,0.03118033409118647,3.3104233026504515
MHDis,KNN,0.9988558352402744,0.9994,0.9879999999999999,0.9994,0.993626945398008,0.9872539837377297,0.9994,0.01852445602416988,0.020912337303161572
UDP,RF,0.2545697364134826,0.6201307981212476,0.5123210050566073,0.6201307981212476,0.2177678689709639,0.0117713646666851,0.6201307981212476,3.6370948791503905,14.057561302185059
SP,DT,0.971080532370855,0.9690821444041366,0.9790738450452066,0.9690821444041366,0.9680478022945923,0.9395122778399078,0.9690821444041365,0.01130824089050288,0.00039241313934319994
SCHD,RF,0.9839471106758081,0.6190857142857144,0.955155491988803,0.6190857142857144,0.6856316956405615,0.37412127912060855,0.6190857142857144,0.7179744958877563,0.03631060123443599
ACK,KNN,0.6498221787134908,0.7374186039900376,0.6915472047046543,0.7374186039900376,0.6416041224324329,0.3477241537084565,0.7374186039900376,0.014618587493896436,1.120974636077881
ARP,DT,0.5090073063295566,0.4714053399651522,0.28494444187369933,0.4714053399651522,0.35087148489810194,-0.06123292822245693,0.4714053399651523,0.32001595497131347,0.2330438375473022
ACK,DT,0.630966926479882,0.7476348660237615,0.5609607246077809,0.7476348660237615,0.6015834558442684,0.4912822603715362,0.7476348660237615,0.01115045547485348,0.00195479393005364
OS,RF,0.6547228321383602,0.7782222224537001,0.6305201725553674,0.7782222224537001,0.5870857424872596,0.27523197601710725,0.7782222224537001,0.2019408941268921,0.08554310798645016
SP,KNN,0.6703135574103316,0.6391351724511342,0.8074057345835784,0.6391351724511342,0.6019172621411094,0.2951986688597054,0.6391351724511345,0.017005300521850543,0.21321921348571773
BF,DT,0.4678883071553228,0.5113782051282051,0.6808064565198187,0.5113782051282051,0.3358238568464477,0.020991293500766447,0.5113782051282051,0.027983975410461374,0.00013637542724605
BF,KNN,0.6579406631762652,0.6858974358974359,0.7855579868708971,0.6858974358974359,0.6345377866867988,0.3502950364456786,0.6858974358974359,0.03099396228790278,0.006416559219360291
MHDis,DT,0.9976353928299009,0.9755647540983606,0.9977379004870965,0.9755647540983606,0.9863703384964063,0.972741431089821,0.9755647540983607,0.017158412933349573,0.00046310424804683995
MHDis,RF,0.9977116704805493,0.9763844262295084,0.9977795630728276,0.9763844262295084,0.9868220429225966,0.9736447536608696,0.9763844262295083,0.37257609367370603,0.026183509826660102
SCHD,KNN,0.9905974534769835,0.8017309523809523,0.9494502766349836,0.8017309523809523,0.8604655135596839,0.7211255583691354,0.8017309523809525,0.02728734016418452,0.31149466037750245
ARP,KNN,0.4886643476913604,0.450244274687691,0.25854767544540735,0.450244274687691,0.32830648924249867,-0.1069253151228157,0.450244274687691,0.11452298164367672,40.57703557014465
UDP,KNN,0.7960237586108719,0.8453041417775484,0.5373160184472346,0.8453041417775484,0.5131439461449985,0.11120989977575028,0.8453041417775484,0.05178434848785396,221.17274370193482
MHDis,NB,0.9157131960335623,0.9558,0.6778425655976676,0.9558,0.7392435993493038,0.48970267837800235,0.9558,0.0025062799453734797,0.0012784957885741699
