MEAN,STD,TIME
0.46010359680134244,0.46010359680134244,107.64624905586243
0.4857579168549367,0.4857579168549367,126.24799466133118
0.5485657315770951,0.5485657315770951,122.42786645889282
0.5817064233282164,0.5817064233282164,118.99035716056824
0.6472477014813675,0.6472477014813675,121.67294192314148
0.6839290915771533,0.6839290915771533,118.93314528465271
0.687361347887334,0.687361347887334,118.28121209144592
0.7124320705809025,0.7124320705809025,123.9167685508728
0.7325551642429606,0.7325551642429606,113.2804799079895
0.7348260053289591,0.7348260053289591,110.86711955070496
0.7388756928265211,0.7388756928265211,116.0597927570343
0.736516755382374,0.736516755382374,107.83940124511719
0.7480977622976445,0.7480977622976445,109.42714047431946
0.7585113412891701,0.7585113412891701,103.99550223350525
0.7737502087038775,0.7737502087038775,106.81957173347473
0.7770730652721897,0.7770730652721897,99.60224437713623
0.7820335417446864,0.7820335417446864,105.53666067123413
0.7786167000257976,0.7786167000257976,100.59050178527832
0.7709620548212742,0.7709620548212742,99.64784908294678
0.7743089666329959,0.7743089666329959,95.531259059906
0.7916242847500115,0.7916242847500115,90.3788378238678
0.7770299272581381,0.7770299272581381,88.57845759391785
0.786815848134723,0.786815848134723,84.34691858291626
0.7826761126954717,0.7826761126954717,83.38454794883728
0.788555137127556,0.788555137127556,86.0492537021637
