MEAN,STD,TIME
0.4774697802778256,0.4774697802778256,99.73315596580505
0.5193822117441399,0.5193822117441399,119.96566939353943
0.5544141216637544,0.5544141216637544,120.01184678077698
0.5780711082442733,0.5780711082442733,117.74969482421875
0.5951608446191207,0.5951608446191207,116.78421092033386
0.6190401313554342,0.6190401313554342,115.95714569091797
0.633185654128602,0.633185654128602,115.21699595451355
0.6474905775215859,0.6474905775215859,115.72431683540344
0.6609453335989012,0.6609453335989012,112.79998326301575
0.6655641042841883,0.6655641042841883,109.65462803840637
0.6761156890154361,0.6761156890154361,105.2366361618042
0.6805305173284718,0.6805305173284718,100.92821669578552
0.6940502924744737,0.6940502924744737,99.34879636764526
0.6946752958103398,0.6946752958103398,97.18746304512024
0.6825268417761803,0.6825268417761803,94.30250954627991
0.699291973152916,0.699291973152916,93.2690703868866
0.704430539555189,0.704430539555189,92.21216559410095
0.7077089555140261,0.7077089555140261,90.42012596130371
0.7135047633855938,0.7135047633855938,90.80645656585693
0.714933434320658,0.714933434320658,90.30258536338806
0.7072749035815808,0.7072749035815808,88.49630951881409
0.7211056437732218,0.7211056437732218,87.24999356269836
0.7244040737449313,0.7244040737449313,86.88594436645508
0.7258392218309214,0.7258392218309214,87.09213471412659
0.7271801103855036,0.7271801103855036,87.53049445152283
