Study,Year,Dataset,ML,Features,Cite
"tiwari2022detecting,",2022,UNSW-NB15,"LR,RF,DT,kNN,ETC,GB,ML,GRU,LSTM","Argus,Zeek",0
"adewole2022dftmicroagg,",2022,NSL-KDD,"SVM,kNN,DT",KDD,0
"yang2022ids,",2022,CICIDS2017,"DT,RF,ETC,XGB,LGBM,CB,CNN",Flowmeter,0
"ibrahimi2022improving,",2022,BoT-IoT,"NB,RF,GB,DT",Argus,0
"singh2022machine,",2022,CICIDS2017,"RF,DT,ETC,kNN",Flowmeter,0
"molcer2022machine,",2022,TON_IoT,"XGB,CB,ANN,kNN",NetFlow,0
"han2022machine,",2022,"KDD99,Kitsune","LR,SVM,DT,NB,RF,MLP","KDD, Kitsune",0
"adeleye2022security,",2022,Private,"kNN,ANN,SVM,RF",NA,0
"garg2022evaluate,",2022,BoT-IoT,"kNN,CNN,NB",Argus,0
"vitorino2023towards,",2023,"IoT-23,BoT-IoT","RF,XGB,LGBM,IFOR","Argus,Zeek",0
