algorithm,leaf_size,n_neighbors,weights,F1,Std,Time,No,Attack
brute,25,12,distance,1.0,0.0,59.95,6,UDP
ball_tree,12,31,distance,1.0,0.0,58.925,7,UDP
brute,22,57,distance,1.0,0.0,82.534,8,UDP
auto,24,6,distance,1.0,0.0,64.69,9,UDP
kd_tree,22,5,distance,1.0,0.0,67.274,0,ARP
auto,29,24,distance,1.0,0.0,70.987,1,ARP
kd_tree,47,39,distance,1.0,0.0,62.774,2,ARP
auto,25,21,distance,1.0,0.0,62.831,3,ARP
ball_tree,9,34,distance,1.0,0.0,42.369,4,ARP
brute,15,13,distance,1.0,0.0,63.082,5,ARP
brute,8,5,distance,1.0,0.0,56.504,6,ARP
auto,1,49,distance,1.0,0.0,70.837,7,ARP
auto,43,21,distance,1.0,0.0,70.761,8,ARP
auto,26,48,distance,1.0,0.0,66.043,9,ARP
brute,39,61,distance,1.0,0.0,14.685,0,SP
brute,30,31,distance,1.0,0.0,12.013,1,SP
kd_tree,9,52,distance,1.0,0.0,4.232,2,SP
kd_tree,7,16,distance,1.0,0.0,8.861,3,SP
ball_tree,4,12,distance,1.0,0.0,9.312,4,SP
brute,43,54,distance,1.0,0.0,12.349,5,SP
kd_tree,29,41,distance,1.0,0.0,11.084,6,SP
auto,5,41,distance,1.0,0.0,11.698,7,SP
auto,2,1,uniform,1.0,0.0,12.807,8,SP
ball_tree,43,41,distance,1.0,0.0,8.81,9,SP
auto,42,52,distance,1.0,0.0,16.43,0,BF
ball_tree,24,9,distance,1.0,0.0,13.595,1,BF
brute,14,46,distance,1.0,0.0,18.946,2,BF
auto,29,27,distance,1.0,0.0,14.293,3,BF
kd_tree,2,1,distance,1.0,0.0,11.143,4,BF
brute,2,26,distance,1.0,0.0,16.386,5,BF
ball_tree,35,57,distance,1.0,0.0,14.446,6,BF
brute,15,19,distance,1.0,0.0,18.026,7,BF
auto,6,9,distance,1.0,0.0,15.208,8,BF
brute,6,14,distance,1.0,0.0,12.639,9,BF
auto,48,50,distance,1.0,0.0,20.841,0,OS
brute,6,63,distance,1.0,0.0,22.089,1,OS
kd_tree,38,1,distance,1.0,0.0,10.644,2,OS
brute,15,2,distance,1.0,0.0,18.447,3,OS
auto,26,30,distance,1.0,0.0,20.348,4,OS
auto,8,55,distance,1.0,0.0,17.064,5,OS
auto,28,45,distance,1.0,0.0,20.71,6,OS
auto,23,54,distance,1.0,0.0,22.911,7,OS
ball_tree,25,12,distance,1.0,0.0,12.384,8,OS
ball_tree,26,60,distance,1.0,0.0,15.441,9,OS
auto,32,13,distance,1.0,0.0,15.791,0,SCHD
kd_tree,49,52,distance,1.0,0.0,12.533,1,SCHD
brute,5,31,distance,1.0,0.0,24.325,2,SCHD
brute,28,37,distance,1.0,0.0,27.251,3,SCHD
brute,20,51,distance,1.0,0.0,33.087,4,SCHD
ball_tree,3,38,distance,1.0,0.0,13.15,5,SCHD
kd_tree,8,63,distance,1.0,0.0,11.078,6,SCHD
auto,35,39,distance,1.0,0.0,19.68,7,SCHD
kd_tree,7,55,distance,1.0,0.0,13.842,8,SCHD
kd_tree,11,2,uniform,1.0,0.0,11.404,9,SCHD
brute,13,13,distance,1.0,0.0,10.952,0,MHDis
kd_tree,15,32,distance,1.0,0.0,11.699,1,MHDis
brute,17,36,distance,1.0,0.0,16.74,2,MHDis
ball_tree,17,37,distance,1.0,0.0,7.025,3,MHDis
kd_tree,18,52,distance,1.0,0.0,10.175,4,MHDis
ball_tree,8,10,distance,1.0,0.0,8.07,5,MHDis
kd_tree,44,17,distance,1.0,0.0,9.66,6,MHDis
ball_tree,2,1,distance,1.0,0.0,8.925,7,MHDis
brute,33,40,distance,1.0,0.0,16.611,8,MHDis
auto,10,3,distance,1.0,0.0,10.004,9,MHDis
