,precision,recall,f1-score,support
1,0.8858546647381196,0.9818635867020447,0.929466421772504,19221.0
0,0.96072483105097,0.7428997910239825,0.8233765084080369,10049.0
accuracy,0.8998223436966178,0.8998223436966178,0.8998223436966178,0.8998223436966178
macro avg,0.923289747894545,0.8623816888630135,0.8764214650902705,29270.0
weighted avg,0.9115591506034366,0.8998223436966178,0.8930435471773714,29270.0
