,names,c_\DoS-SYN-1,c_\DoS-SYN-2,c_\DoS-SYN-3,c_\DoS-SYN-4,c_\DoS-SYN-5,c_\DoS-SYN-6,c_\MB-ACK-1,c_\MB-ACK-2,c_\MB-ACK-3,c_\MB-ACK-4,c_\MB-BF-1,c_\MB-BF-2,c_\MB-BF-3,c_\MB-BF-4,c_\MB-BF-5,c_\MB-HDis-1,c_\MB-HDis-2,c_\MB-HDis-3,c_\MB-HDis-4,c_\MB-HDis-5,c_\MB-HTTP-1,c_\MB-HTTP-2,c_\MB-HTTP-3,c_\MB-HTTP-4,c_\MB-UDP-1,c_\MB-UDP-2,c_\MB-UDP-3,c_\MB-UDP-4,c_\MitM-ARP-1,c_\MitM-ARP-2,c_\MitM-ARP-3,c_\MitM-ARP-4,c_\MitM-ARP-5,c_\MitM-ARP-6,c_\Scan-HDis-1,c_\Scan-HDis-2,c_\Scan-HDis-3,c_\Scan-HDis-4,c_\Scan-HDis-5,c_\Scan-HDis-6,c_\Scan-OS-1,c_\Scan-OS-2,c_\Scan-OS-3,c_\Scan-OS-4,c_\Scan-OS-5,c_\Scan-OS-6,c_\Scan-Port-1,c_\Scan-Port-2,c_\Scan-Port-3,c_\Scan-Port-4,c_\Scan-Port-5,c_\Scan-Port-6,c_\SPScan-Port-1,c_\SPScan-Port-2,c_\SPScan-Port-3,c_\SPScan-Port-4,c_\SPScan-Port-5,c_\SPScan-Port-6
0,f1,0.9020234622276542,0.88266624974006,0.954711937658194,0.8820340673771602,0.9691126881103762,0.9780581967313727,0.4878001236640107,0.5572692222025867,0.4878001236640107,0.5572692222025867,0.7478435816849335,0.9584656501555988,0.5987666224347565,0.5456859100208079,0.5361117217516659,0.8002871515956698,0.9708421610182871,0.7166026879578976,0.7784731494002414,0.7582274778390956,0.5295122386779829,0.5607339859613736,0.5295122386779829,0.5607339859613736,0.5017530364052746,0.5658246892915909,0.5017530364052746,0.5658246892915909,0.9029706965840575,0.9939253677107249,0.9431781192822908,0.9873367846771994,0.9999728648724807,0.9583658434552725,0.60970123560523,0.6371538439339763,0.6825620339418911,0.531224661716842,0.8153079424611559,0.8299894374572735,0.6529148311622074,0.6330637759556281,0.678094685588503,0.9985092849038232,0.9992483835474321,0.9854614041987373,0.5194715597485872,0.4985967878120521,0.9486154207902464,0.45196826567973863,0.7856009698384588,0.7307659333304141,0.5239410692392608,0.548216690973031,0.583531208670356,0.8813928811744718,0.9646863674343834,0.6074294224644502
1,f1v,0.8215325475512844,0.7899754657323418,0.9133481688476474,0.7889632784317818,0.940076259483673,0.9570586051016845,0.3225764869429393,0.38626002215975297,0.3225764869429393,0.38626002215975297,0.4301552992926803,0.8550060974637327,0.39876788881666586,0.3559953700038728,0.3409456233028052,0.4223220403383159,0.8472916156328332,0.4204151067063915,0.40669613023242557,0.3839813866014072,0.35594179260255354,0.38959718390621634,0.35594179260255354,0.38959718390621634,0.33489341116462185,0.3945296541272228,0.33489341116462185,0.3945296541272228,0.8231053571425819,0.9879240921213714,0.8924664945825681,0.9749902729136575,0.999945731217552,0.9200599245269862,0.3973683418262958,0.39656363636389846,0.48660631323921794,0.33135649472238443,0.6515774483536811,0.6275956941347778,0.45097482639546554,0.45087169962082624,0.49735060760005684,0.9750430239421306,0.9776302845916507,0.8578858706866406,0.35086901786255054,0.33208719933765335,0.9022535041395117,0.291963178570236,0.6469051360605559,0.5757534819782387,0.3549594520384285,0.37761605851527735,0.41196192407641646,0.7879378437175355,0.9317817684326136,0.4361929170867777
2,f2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005722460658082976,0.00023631350925561244,0.009333333333333334,0.003334127173136461,0.009333333333333334,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0011198835321126603,0.013333333333333334,0.0011198835321126603,0.0,0.0009519010022957612,0.0,0.0009519010022957612,0.96,0.7489009181445704,0.03679194665167736,1.0,0.027340332458442695,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414,0.41933333333333334,0.41933333333333334,0.18933333333333333,0.004941880698823693,0.02273401514560075,0.0026666666666666666,0.0015071590052750565,0.026314842794445643,0.0,0.0,0.0,0.0026666666666666666,0.0026666666666666666,0.016,0.0,0.0,0.0
3,f3,0.501,0.515,0.5025,0.815,0.963,0.9735,0.53,0.5215,0.53,0.5215,0.3299319727891156,0.4791843670348343,0.5793333333333334,0.583974358974359,0.5373924553275976,0.10422282120395328,0.09445958219800181,0.17520661157024794,0.0,0.11545293072824156,0.6167800453514739,0.6495,0.6167800453514739,0.6495,0.503,0.628,0.503,0.628,0.997,0.9995,0.997,1.0,0.9995,1.0,0.30613668061366806,0.2515015015015015,0.3299731182795699,0.3263371699390657,0.31084840055632823,0.22879377431906614,0.672542372881356,0.7134146341463414,0.7451713395638629,0.17652764306498545,0.21140609636184857,0.6244041944709247,0.523,0.522,0.996,0.502,0.5075,0.5,0.515,0.5215,0.7125,0.503,0.503,0.502
4,f4,0.501,0.515,0.5025,0.815,0.963,0.9735,0.53,0.5215,0.53,0.5215,0.3299319727891156,0.4791843670348343,0.5793333333333334,0.583974358974359,0.5373924553275976,0.10422282120395328,0.09445958219800181,0.17520661157024794,0.0,0.11545293072824156,0.6167800453514739,0.6495,0.6167800453514739,0.6495,0.503,0.628,0.503,0.628,0.997,0.9995,0.997,1.0,0.9995,1.0,0.30613668061366806,0.2515015015015015,0.3299731182795699,0.3263371699390657,0.31084840055632823,0.22879377431906614,0.672542372881356,0.7134146341463414,0.7451713395638629,0.17652764306498545,0.21140609636184857,0.6244041944709247,0.523,0.522,0.996,0.502,0.5075,0.5,0.515,0.5215,0.7125,0.503,0.503,0.502
5,l1,0.29303640862495584,0.28596929667975723,0.36345014060709435,0.4590465372087968,0.464877758002124,0.332220367278798,0.031007751937984496,0.11386796632698272,0.031007751937984496,0.11386796632698272,0.161260400093708,0.18589448093843075,0.20592906299629435,0.18452692106638785,0.10092994688541464,0.002688172043010753,0.002717391304347826,0.0016501650165016502,0.0,0.003539823008849558,0.41235282150142466,0.1677070328755722,0.1989100817438692,0.16352990380593893,0.19807538091419408,0.1889699918896999,0.3333333333333333,0.47323560147295346,0.42529733911370016,0.3331734816305125,0.4571388063676869,0.4275498987988396,0.33437191536452765,0.45349705164204335,0.0034746351633078527,0.002247191011235955,0.002012072434607646,0.003373819163292848,0.006219765031098824,0.006955177743431222,0.28349698319598166,0.37831690674753604,0.38364055299539174,0.1129890875565567,0.17684309913234053,0.08536203390579837,0.17081260364842454,0.16422900125365653,0.5653637981765032,0.1892987434130523,0.3333333333333333,0.3333333333333333,0.17389508467575382,0.17695473251028807,0.01790657403307014,0.38680797890249463,0.4706149690626142,0.3333333333333333
6,l2,0.4145,0.5025,0.502,0.5,0.5,0.5,0.032,0.1285,0.032,0.1285,0.0782312925170068,0.15293118096856415,0.33666666666666667,0.23012820512820512,0.26075446724023826,0.0026954177897574125,0.0027247956403269754,0.001652892561983471,0.0,0.003552397868561279,0.24829931972789115,0.1955,0.26303854875283444,0.502,0.5,0.502,0.501,0.5,0.5,0.409,0.2735,0.491,0.4935,0.516,0.003486750348675035,0.0022522522522522522,0.0020161290322580645,0.003385240352064997,0.006258692628650904,0.007003891050583658,0.3220338983050847,0.3902439024390244,0.6224299065420561,0.030067895247332686,0.017699115044247787,0.04671115347950429,0.206,0.1965,0.2515,0.2335,0.5,0.5,0.2105,0.215,0.0175,0.5,0.3625,0.5015
7,l3,0.501,0.34,0.4035,0.5,0.5,0.5,0.018,0.0505,0.0175,0.044,0.08843537414965986,0.1903143585386576,0.11066666666666666,0.358974358974359,0.11449371277299801,0.0008984725965858042,0.0009082652134423251,0.0,0.0,0.006216696269982238,0.1383219954648526,0.0895,0.1326530612244898,0.501,0.149,0.194,0.5,0.5,0.365,0.4995,0.2495,0.5,0.5,0.5005,0.001394700139470014,0.0,0.0006720430107526882,0.0006770480704129993,0.004867872044506259,0.0023346303501945525,0.3220338983050847,0.3902439024390244,0.6230529595015576,0.11154219204655674,0.13274336283185842,0.04671115347950429,0.5035,0.504,0.1415,0.5,0.5,0.5,0.0975,0.09,0.0155,0.4995,0.5,0.24
8,n1,0.2605,0.25025,0.287,0.25075,0.251,0.25075,0.25025,0.25025,0.25025,0.25025,0.13903061224489796,0.20050977060322855,0.21433333333333332,0.17756410256410257,0.17240238252812706,0.05076370170709793,0.04586739327883742,0.08677685950413223,0.054764024933214604,0.05595026642984014,0.19727891156462585,0.25875,0.19727891156462585,0.25875,0.31425,0.27875,0.31425,0.27875,0.35025,0.181,0.25725,0.25775,0.2565,0.28325,0.15132496513249652,0.12462462462462462,0.1639784946236559,0.16147596479350035,0.15229485396383866,0.11089494163424124,0.1664406779661017,0.1652439024390244,0.13271028037383178,0.015518913676042677,0.009341199606686333,0.02478551000953289,0.2605,0.34625,0.346,0.2505,0.39275,0.3825,0.35025,0.2505,0.04425,0.25025,0.25025,0.25025
9,n2,0.46940101349685487,0.46629744625935654,0.4731513533565831,0.43470931829643733,0.4920785131927878,0.4947310505722236,0.3314681730075088,0.32386257884000796,0.3314681730075088,0.32386257884000796,0.6716400603853434,0.7724913637208123,0.511929131582016,0.4641554582907507,0.47407656669629306,0.7531305801796218,0.8481587725718642,0.7009423366526999,0.7882961406142143,0.7759703790736087,0.3973752675701961,0.32725371420570337,0.3973752675701961,0.32725371420570337,0.3355835221591922,0.3290610430033106,0.3355835221591922,0.3290610430033106,0.47596955255166895,0.4906778332676588,0.43660850117980365,0.4969547209063757,0.49894335816911667,0.48978065717427083,0.537451898138461,0.5940213593053708,0.5470656239989439,0.48421933698120145,0.6134475999734454,0.701366556979494,0.5386977107288021,0.4770774992217842,0.5062027438817037,0.9545801879193172,0.9777256166296404,0.7924616730740506,0.35002446064975457,0.3409256658975383,0.40417406241673515,0.32128540855496784,0.4428183450560662,0.4250097847569805,0.3511821171092781,0.3609113289935671,0.37486817272065354,0.4654117348830856,0.44836592226742195,0.3818867998756161
