,names,c_\DoS-SYN-1,c_\DoS-SYN-2,c_\DoS-SYN-3,c_\DoS-SYN-4,c_\DoS-SYN-5,c_\DoS-SYN-6,c_\MB-ACK-1,c_\MB-ACK-2,c_\MB-ACK-3,c_\MB-ACK-4,c_\MB-BF-1,c_\MB-BF-2,c_\MB-BF-3,c_\MB-BF-4,c_\MB-BF-5,c_\MB-HDis-1,c_\MB-HDis-2,c_\MB-HDis-3,c_\MB-HDis-4,c_\MB-HDis-5,c_\MB-HTTP-1,c_\MB-HTTP-2,c_\MB-HTTP-3,c_\MB-HTTP-4,c_\MB-UDP-1,c_\MB-UDP-2,c_\MB-UDP-3,c_\MB-UDP-4,c_\MitM-ARP-1,c_\MitM-ARP-2,c_\MitM-ARP-3,c_\MitM-ARP-4,c_\MitM-ARP-5,c_\MitM-ARP-6,c_\Scan-HDis-1,c_\Scan-HDis-2,c_\Scan-HDis-3,c_\Scan-HDis-4,c_\Scan-HDis-5,c_\Scan-HDis-6,c_\Scan-OS-1,c_\Scan-OS-2,c_\Scan-OS-3,c_\Scan-OS-4,c_\Scan-OS-5,c_\Scan-OS-6,c_\Scan-Port-1,c_\Scan-Port-2,c_\Scan-Port-3,c_\Scan-Port-4,c_\Scan-Port-5,c_\Scan-Port-6,c_\SPScan-Port-1,c_\SPScan-Port-2,c_\SPScan-Port-3,c_\SPScan-Port-4,c_\SPScan-Port-5,c_\SPScan-Port-6
10,n3,0.0010000000000000009,0.015000000000000013,0.0024999999999999467,0.31499999999999995,0.46299999999999997,0.474,0.03049999999999997,0.02200000000000002,0.03049999999999997,0.02200000000000002,0.1785714285714286,0.3254035683942226,0.246,0.22435897435897434,0.19457313037723367,0.0026954177897574594,0.0027247956403270157,0.0024793388429752428,0.0,0.003552397868561319,0.18367346938775508,0.10650000000000004,0.18367346938775508,0.10650000000000004,0.0030000000000000027,0.0010000000000000009,0.0030000000000000027,0.0010000000000000009,0.18600000000000005,0.31599999999999995,0.28049999999999997,0.45699999999999996,0.47350000000000003,0.4365,0.0034867503486750717,0.0022522522522522292,0.0020161290322581182,0.003385240352065,0.006258692628650864,0.007003891050583633,0.27254237288135597,0.2548780487804878,0.25732087227414335,0.015518913676042634,0.013765978367748288,0.006673021925643452,0.02400000000000002,0.0014999999999999458,0.040000000000000036,0.0024999999999999467,0.007499999999999951,0.0,0.0050000000000000044,0.025000000000000022,0.0040000000000000036,0.0034999999999999476,0.0034999999999999476,0.0020000000000000018
11,n4,0.005,0.0015,0.005,0.204,0.4335,0.455,0.01,0.001,0.0105,0.0025,0.04336734693877551,0.15378079864061173,0.10666666666666667,0.1737179487179487,0.1727332892124421,0.0008984725965858042,0.0,0.0008264462809917355,0.0,0.0,0.21145124716553287,0.209,0.21258503401360543,0.213,0.018,0.2215,0.0225,0.22,0.2355,0.3295,0.281,0.503,0.471,0.447,0.0,0.0007507507507507507,0.0006720430107526882,0.0,0.005563282336578581,0.004669260700389105,0.2352542372881356,0.23536585365853657,0.29158878504672897,0.03588748787584869,0.02753195673549656,0.10772163965681601,0.012,0.009,0.0325,0.004,0.0065,0.026,0.0085,0.02,0.015,0.0175,0.0325,0.0335
12,t1,0.502,0.516,0.5035,0.816,0.964,0.9745,0.531,0.5225,0.531,0.5225,0.30017006802721086,0.44010195412064573,0.4673333333333333,0.4634615384615385,0.4493712772998015,0.10512129380053908,0.09536784741144415,0.17603305785123968,0.0017809439002671415,0.11634103019538189,0.6179138321995464,0.6085,0.6179138321995464,0.6085,0.504,0.003,0.504,0.003,0.6135,0.7485,0.628,0.945,0.9475,0.936,0.3068340306834031,0.25225225225225223,0.33064516129032256,0.32701421800947866,0.31154381084840055,0.22957198443579765,0.5206779661016949,0.5640243902439024,0.4797507788161994,0.04267701260911736,0.03146509341199607,0.014299332697807437,0.0265,0.025,0.0605,0.503,0.5085,0.0015,0.0215,0.0285,0.5175,0.504,0.504,0.503
13,lsc,0.7892915,0.8186990000000001,0.77885775,0.9760785,0.99931175,0.9996495,0.84966275,0.84309775,0.84966275,0.84309775,0.6261026944791521,0.8002669401997649,0.8534151111111111,0.8507852564102564,0.8326926168170675,0.3986215347655616,0.4247604151456731,0.5187903831705485,0.42221691833270025,0.43897273865898556,0.8874150945336563,0.90310675,0.8874150945336563,0.90310675,0.89080225,0.768535,0.89080225,0.768535,0.8970892500000001,0.9722325,0.95760775,0.9997925,0.99933025,0.999732,0.6564101741138207,0.5981054252450648,0.6747320860793156,0.6771457083540948,0.6394655496256003,0.552524943602477,0.9083026716460787,0.9332949137418204,0.9296625615046438,0.49458446735110695,0.6369573687818395,0.7049093921215993,0.59781325,0.5948312499999999,0.62191525,0.883489,0.89067475,0.643178,0.5945210000000001,0.5996319999999999,0.90156225,0.85884675,0.89113825,0.89552475
14,density,0.5444367183591796,0.5507628814407204,0.5190180090045022,0.5007498749374688,0.5200425212606303,0.5134842421210606,0.6299739869934968,0.5007498749374688,0.6299739869934968,0.5007498749374688,0.2561861340280793,0.25719574150815805,0.7093288859239493,0.6705259781911481,0.6956412357940227,0.18421758550033285,0.168440260919825,0.6937814873298744,0.5976114399455241,0.645101243339254,0.6580967043652401,0.5007498749374688,0.6580967043652401,0.5007498749374688,0.6299739869934968,0.5007498749374688,0.6299739869934968,0.5007498749374688,0.7180050025012505,0.5012496248124062,0.5007498749374688,0.7551470735367684,0.5007498749374688,0.769463731865933,0.7019955015324182,0.6815643592503097,0.6782816669197562,0.6985411357160287,0.6353388443510133,0.6174333612131351,0.6978506542786836,0.6829923064331315,0.6837757630845006,0.3143521701053742,0.034838842047398955,0.08923074683995658,0.6439584792396198,0.6364032016008003,0.5007498749374688,0.642535267633817,0.6095217608804402,0.612488244122061,0.6414667333666834,0.6386758379189594,0.6361205602801401,0.5681550775387694,0.5007498749374688,0.6299419709854928
15,clsCoef,0.0036449496524547653,0.002698401844236975,0.0004999999999999449,0.0004999999999999449,0.0028555441646374025,0.0019451901104644564,0.0033621240199599445,0.0004999999999999449,0.0033621240199599445,0.0004999999999999449,0.0008503401360544505,0.000849617672047609,0.02019690777436034,0.011115691916824044,0.014451196037287617,0.0008984725965858198,0.0009082652134423386,0.02503748897647995,0.015490645453281937,0.019392324344886136,0.0038119319954196262,0.0004999999999999449,0.0038119319954196262,0.0004999999999999449,0.0033621240199599445,0.0004999999999999449,0.0033621240199599445,0.0004999999999999449,0.024058135391004543,0.0010000000000000009,0.0004999999999999449,0.008619489885774989,0.0004999999999999449,0.01379453734307412,0.017555080264049283,0.013973409982032892,0.014667761619837627,0.014892255800701193,0.02152123986335608,0.009906376992619759,0.014744947478920523,0.01396959145086718,0.014868575074203139,0.02581582592193854,0.000983284169124854,0.0009532888465204614,0.012586992549323273,0.009306291048033932,0.0004999999999999449,0.010997930908817732,0.015473771461752883,0.006364847217758318,0.010195456206489317,0.010844740556452459,0.011813308186791494,0.013308058262759381,0.0004999999999999449,0.005339662839862314
16,hubs,0.49999999999999956,0.5,0.49999999999997025,0.4999999999977224,0.49999999999989564,0.49999999999997036,0.5,0.4999999999977224,0.5,0.4999999999977224,0.15051020408163263,0.15123194562446896,0.6666666666666567,0.641025641025641,0.6618133686299417,0.10242587601078168,0.0926430517711172,0.61547663946759,0.4990563572353728,0.5494750161728787,0.5668934240362776,0.4999999999977224,0.5668934240362776,0.4999999999977224,0.5,0.4999999999977224,0.5,0.4999999999977224,0.5885013844341423,0.5005000000000002,0.4999999999977224,0.6799989900911569,0.4999999999977224,0.6959999049145293,0.6528207005027372,0.6235479734884584,0.5904692947590786,0.6616128514409314,0.49681684848259333,0.45284006886582906,0.6562401500739115,0.6109834794261091,0.6268223957575974,0.18099168407850774,0.017699115044247815,0.046711153479504275,0.5,0.5,0.499999999994329,0.4999999999999989,0.499999999999992,0.5,0.5,0.5,0.4999999999999999,0.49999999999999356,0.4999999999977224,0.4999999999999989
17,t2,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0008503401360544217,0.0008496176720475786,0.0006666666666666666,0.000641025641025641,0.0006618133686300463,0.0008984725965858042,0.0009082652134423251,0.0008264462809917355,0.0008904719501335708,0.0008880994671403197,0.0005668934240362812,0.0005,0.0005668934240362812,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000697350069735007,0.0007507507507507507,0.0006720430107526882,0.0006770480704129993,0.0006954102920723226,0.0007782101167315176,0.0006779661016949153,0.0006097560975609756,0.0006230529595015577,0.0009699321047526673,0.0009832841691248771,0.0009532888465204957,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
18,t3,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0008503401360544217,0.0008496176720475786,0.0006666666666666666,0.000641025641025641,0.0006618133686300463,0.0008984725965858042,0.0009082652134423251,0.0008264462809917355,0.0008904719501335708,0.0008880994671403197,0.0005668934240362812,0.0005,0.0005668934240362812,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000697350069735007,0.0007507507507507507,0.0006720430107526882,0.0006770480704129993,0.0006954102920723226,0.0007782101167315176,0.0006779661016949153,0.0006097560975609756,0.0006230529595015577,0.0009699321047526673,0.0009832841691248771,0.0009532888465204957,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
19,t4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3910115408288153,0.38920374587640505,0.08170416594551055,0.05817146455248434,0.07692714379692589,0.5261812667865251,0.557766046090507,0.33423002599669827,0.5015092291121446,0.49437794211433217,0.012950137028306496,0.0,0.012950137028306496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11549392668372371,0.18991395715491355,0.08717459305378017,0.09243726850177547,0.11317082729881134,0.23657766388913837,0.09342045150125411,0.035043233049431355,0.04414275482526975,0.8052677650606794,0.8774192937269077,0.727741616091686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6585759513315538,0.6567535674842848,0.19999999999999996,0.14738124238733263,0.189609878830025,0.7768494098851761,0.800039794060786,0.5977396801072694,0.7576662670458632,0.7519382286814532,0.035168365645931954,0.0,0.035168365645931954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26957914968241836,0.40192249491994403,0.21172335366484019,0.22282895149523962,0.26500448045213976,0.47282018081342925,0.22488526262111164,0.09194097616345065,0.11421826101279264,0.9380595247966704,0.9660098231611064,0.9022347344026991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,acc,1.0,0.984,0.994,0.678,0.534,0.52,0.966,0.99,0.966,0.99,0.9591836734693877,0.9491525423728814,0.9653333333333334,0.8897435897435897,0.8941798941798942,1.0,0.9927536231884058,0.9966996699669967,1.0,0.9964539007092199,0.8390022675736961,0.918,0.8390022675736961,0.918,0.998,0.998,0.998,0.998,0.788,0.696,0.74,0.568,0.566,0.624,1.0,0.996996996996997,0.9946236559139785,0.9945945945945946,0.9916666666666667,0.9937888198757764,0.8509485094850948,0.8170731707317073,0.8034825870646766,0.9844961240310077,0.9921568627450981,0.9885931558935361,0.998,1.0,0.998,1.0,0.994,1.0,0.992,0.996,0.994,0.996,0.996,0.998
23,f-score,1.0,0.9839959029511555,0.9939997839922237,0.6407516991775223,0.404734532039589,0.3762993762993764,0.9659606505119919,0.98999899989999,0.9659606505119919,0.98999899989999,0.9166666666666666,0.9007602771984121,0.9605981006263891,0.8836862511184014,0.8831782921778903,1.0,0.9787692307692307,0.9943250987957224,1.0,0.9913056882996762,0.8313393843087613,0.9174448995042667,0.8313393843087613,0.9174448995042667,0.997999991999968,0.997999991999968,0.997999991999968,0.997999991999968,0.7842406083600657,0.6827993789545735,0.7359398105266579,0.5541906082821478,0.523702913533422,0.6096086118678983,1.0,0.996003984015936,0.9939269272210793,0.9938333333333333,0.9902554339489853,0.9910555555555556,0.8057467193736421,0.7874781430773166,0.7681136139607899,0.871,0.898,0.9318005013397874,0.997999991999968,1.0,0.997999991999968,1.0,0.9939997839922237,1.0,0.9919994879672299,0.995999935998976,0.9939999759999041,0.995999935998976,0.995999935998976,0.997999991999968
24,kappa,1.0,0.968,0.988,0.356,0.06799999999999995,0.040000000000000036,0.9319999999999999,0.98,0.9319999999999999,0.98,0.8333962976955043,0.8015250056066383,0.9212121212121213,0.7680818697275619,0.7664215534820491,1.0,0.957544993077988,0.9886504101584448,1.0,0.9826119126896041,0.6648900305024883,0.836,0.6648900305024883,0.836,0.996,0.996,0.996,0.996,0.5760000000000001,0.392,0.48,0.136,0.132,0.248,1.0,0.9920080639354885,0.9878542510121457,0.9876670777640746,0.9805124503789245,0.9821121048830621,0.6195377087902818,0.5863043185793084,0.5477228061180894,0.742,0.7961630695443646,0.8636127917026793,0.996,1.0,0.996,1.0,0.988,1.0,0.984,0.992,0.988,0.992,0.992,0.996
